"","mu_t","mu_add","ratio_2","sd_p1","sd_p2","sd_t1","sd_t2","bias_m1","bias_m2_e1","bias_m2_e2","bias_m2_e3","bias_m2_e4","bias_lm","bias_wlm_true","bias_wlm","power_m1","power_m2_e1","power_m2_e2","power_m2_e3","power_m2_e4","power_lm","power_wlm_true","power_wlm","time_m2_e2","time_wlm","MSE_m1","MSE_m2_e1","MSE_m2_e2","MSE_m2_e3","MSE_m2_e4","MSE_lm","MSE_wlm_true","MSE_wlm"
"1",0,0,1,2,2,2,2,1.61830893658504e-05,1.6183089365849e-05,3.00656098983523e-05,1.6183089365849e-05,1.6183089365849e-05,1.61830893658506e-05,1.61830893658506e-05,2.99468098357384e-05,0.0502710000000004,0.050290999999999,0.0510800000000007,0.050290999999999,0.050290999999999,0.0499730000000004,0.0499730000000004,0.050698000000001,6.91494972705842e-05,0.0010498911442756,0.0333319026729358,0.0333319026729358,0.0334780760813089,0.0333319026729358,0.0333319026729358,0.0333319026729356,0.0333319026729356,0.0334762942895608
"2",0,0,0.5,2,2,2,2,4.63451382643457e-05,3.91542635724697e-05,3.45065481358526e-05,2.4538470504897e-05,3.91542635724697e-05,3.91542635724647e-05,3.91542635724647e-05,3.41406960234547e-05,0.0504850000000004,0.0505089999999986,0.0516509999999996,0.0505290000000019,0.0505089999999986,0.049982,0.049982,0.0512830000000006,6.59879093170223e-05,0.000981973165988894,0.0388830256428179,0.0400068056499884,0.0402425334508198,0.0401491177905514,0.0400068056499884,0.0400068056499879,0.0400068056499879,0.0402366166809178
"3",0,0.3,1,2,2,2,2,0.000211033879518025,0.000211033879518025,0.000201771983240472,0.000211033879518025,0.000211033879518025,0.000211033879518536,0.000211033879518536,0.000201903199025996,0.0498060000000021,0.0502910000000031,0.050989999999996,0.0502910000000031,0.0502910000000031,0.0499569999999967,0.0499569999999967,0.0506400000000033,6.94107589721802e-05,0.00104794290947947,0.0333435239997017,0.0333435239997017,0.0334839502343713,0.0333435239997017,0.0333435239997017,0.0333435239997015,0.0333435239997015,0.0334822048686871
"4",0,0.3,0.5,2,2,2,2,-0.0496567150484831,0.000306403601703869,0.000298832560505536,0.000306728144132353,0.000306403601703869,0.000306403601703999,0.000306403601703999,0.000297834589166508,0.0287709999999975,0.0506909999999996,0.051661000000001,0.0506909999999996,0.0506909999999996,0.0502210000000026,0.0502210000000026,0.0513240000000016,6.98030779361713e-05,0.00103973872661592,0.0412831699882916,0.0399142951711511,0.0401513350331671,0.0400465602745721,0.0399142951711511,0.0399142951711507,0.0399142951711507,0.0401452084992852
"5",0,0.3,0.5,1,1,4,4,-0.0495707923973346,0.000433452778226814,0.000434342276073758,0.000277523817340058,0.000327823482142232,0.000327823482142376,0.000433452778227028,0.000432685647714513,0.0355620000000009,0.0507770000000015,0.0526050000000002,0.0506470000000016,0.0507400000000005,0.0731249999999985,0.0499679999999988,0.0529670000000018,7.0047087192528e-05,0.001041991979599,0.0954617901050983,0.0934209564231097,0.0944064441894813,0.0966418930751898,0.0948883514278393,0.094888351427838,0.093420956423109,0.0943839583215066
"6",0,0.3,0.5,4,4,1,1,-0.0501643007256983,-0.000180208353851193,-0.000156964525087563,-0.000136756523085008,-0.000115030607701899,-0.000115030607701767,-0.000180208353851157,-0.000156840296414464,0.0336409999999992,0.0503030000000002,0.0515940000000002,0.0503749999999984,0.0505219999999993,0.0315009999999998,0.0497429999999979,0.0516849999999995,6.81884551048418e-05,0.00101789232778532,0.0747146617853148,0.0728178966971148,0.0733427501370839,0.0737723729149864,0.0749629118585698,0.074962911858569,0.072817896697115,0.0733374774463474
"7",0,0.3,0.5,1,2,2,3,-0.050148229911782,-0.000132542678703621,-0.000136388731471015,-0.000163367133787682,-0.000159748610799552,-0.000159748610799407,-0.000132542678703523,-0.00013666597685418,0.0289339999999985,0.0504060000000003,0.0512920000000023,0.0504160000000003,0.0502339999999992,0.0619409999999999,0.0497700000000024,0.0509819999999976,6.3999599456783e-05,0.000955690866947188,0.0443509079965736,0.0338344036058755,0.0340124111160215,0.0472309927145459,0.0442778394059425,0.0442778394059421,0.0338344036058757,0.0340109924751121
"8",0.5,0,1,2,2,2,2,7.68140169405932e-05,7.68140169405919e-05,6.57184845360879e-05,7.68140169405919e-05,7.68140169405919e-05,7.68140169387738e-05,7.68140169387738e-05,6.57229223803038e-05,0.86294,0.862899000000001,0.863140999999998,0.862899000000001,0.862899000000001,0.862225999999999,0.862225999999999,0.862412999999998,6.40398128032695e-05,0.000978389092445431,0.0333393800038106,0.0333393800038106,0.0334864475508537,0.0333393800038106,0.0333393800038106,0.0333393800038104,0.0333393800038104,0.0334846622467403
"9",0.5,0,0.5,2,2,2,2,-0.00025432560949642,-0.000279238751484604,-0.000269278734686044,-0.000267371763790129,-0.000279238751484604,-0.000279238751487489,-0.000279238751487489,-0.000269088808579909,0.813082999999997,0.803285000000001,0.804026000000003,0.802149000000002,0.803285000000001,0.802356999999999,0.802356999999999,0.803108,6.56495268344795e-05,0.000982025844812223,0.0388902197406512,0.0400082125256753,0.0402485563305814,0.040143050517761,0.0400082125256753,0.0400082125256749,0.0400082125256749,0.0402417283009289
"10",0.5,0.3,1,2,2,2,2,-8.67367273306828e-05,-8.67367273306915e-05,-6.98295896857119e-05,-8.67367273306915e-05,-8.67367273306915e-05,-8.67367273319669e-05,-8.67367273319669e-05,-6.99306541642053e-05,0.862011000000004,0.863019999999995,0.863158000000001,0.863019999999995,0.863019999999995,0.862315000000002,0.862315000000002,0.862476000000005,6.38604018688228e-05,0.00096552154994019,0.033291632582576,0.033291632582576,0.0334386583225601,0.033291632582576,0.033291632582576,0.0332916325825758,0.0332916325825758,0.0334368720581295
"11",0.5,0.3,0.5,2,2,2,2,-0.0501014655835036,-0.000107171234620961,-9.34751068460834e-05,-0.000113172562733739,-0.000107171234620961,-0.000107171234623681,-0.000107171234623681,-9.28829403782586e-05,0.73663700000001,0.803538999999999,0.804289000000008,0.802248999999989,0.803538999999999,0.802574000000004,0.802574000000004,0.803390000000011,6.39746398925716e-05,0.000953260761260968,0.0413634007740399,0.0399508265420762,0.0401837840553201,0.0400903448055945,0.0399508265420762,0.0399508265420758,0.0399508265420758,0.0401776182318569
"12",0.6,0.3,0.5,1,1,4,4,-0.0501176439414465,-0.00011356329157344,-9.27241753229098e-05,-0.000240061306243354,-0.000199255495059527,-0.000199255495062851,-0.000113563291575631,-9.40201464930145e-05,0.562444,0.624680999999998,0.627217,0.611954000000002,0.618601999999997,0.687412000000003,0.623069999999998,0.628552999999996,6.42203176021538e-05,0.000965130512237621,0.0956086235647185,0.0935572056087492,0.0945475039179228,0.0967917900486322,0.0950355658947212,0.09503556589472,0.0935572056087484,0.0945253469619236
"13",0.7,0.3,0.5,4,4,1,1,-0.0500583097215801,-8.45692485595519e-05,-7.82122478086953e-05,-6.64569537940632e-05,-5.74008064113668e-05,-5.74008064152592e-05,-8.45692485575981e-05,-7.9945643362106e-05,0.779189,0.827804000000002,0.828611,0.823611999999998,0.818167,0.755076999999997,0.827113000000003,0.828862999999993,6.39275991916686e-05,0.000950732006788227,0.0748240188498645,0.0729447855118913,0.0734799373002927,0.0738753140492474,0.0750555791877648,0.0750555791877638,0.0729447855118918,0.0734724984653154
"14",0.5,0.3,0.5,1,2,2,3,-0.050065662976635,2.16217848678633e-05,3.74236078667419e-05,-0.000112920110467822,-9.71260618849524e-05,-9.71260618876843e-05,2.16217848700277e-05,3.68471778656331e-05,0.709035000000004,0.856667999999993,0.857085999999997,0.743374,0.766936999999999,0.798578,0.855894999999998,0.856442999999992,6.39603786468479e-05,0.00095560085105897,0.0444877387207288,0.0340488560156029,0.0342356742186881,0.0473519396935293,0.0444071254902846,0.0444071254902841,0.0340488560156032,0.0342336103597264
